,squirrel_id,X,grid_year,grid,yearn,experiment,mid,locx,locy,litter,nest,n_pups,date,julian_date,year,t_return,return_lat,t_move,m_return,observer,nest_type,cones_counts,mustelid_tracks,LRS,ARS,mom_age,predator,locX,month,locY,local.density,scaled_lat,males,dist,age_sq,litter_id,average_growth,oft1,mis1
91,10517,604,KL_2009,KL,2009,control,n.2.,n.5,2.5,1,2,3,6/22/09,173,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,3,1,2,high predator,19.5,6,2.5,0,0.735397158,0,5.100980298,4,4478,1.52173913,2.591731438,3.225777641
94,10686,344,KL_2008,KL,2008,control,L10,L.0,10,1,1,3,4/15/08,106,nonmast,NA,420,NA,n,rwt,NA,38.53571429,329,34,3,1,high predator,12,4,10,0,0.735397158,0,0.223606798,1,4205,1.437333333,2.303527773,1.097494243
95,10686,341,KL_2009,KL,2009,control,L10,L.0,10,1,2,3,6/2/09,153,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,34,1,2,high predator,12,6,10,0.188349045,0.735397158,0.188349045,0.223606798,4,4479,1.823529412,2.303527773,1.097494243
96,10686,343,KL_2008,KL,2008,control,L10,L.0,10,1,2,3,5/10/08,131,nonmast,NA,420,NA,n,rwt,NA,38.53571429,329,34,3,1,high predator,12,5,10,2.636886631,0.735397158,1.506792361,0.223606798,1,4205,1.437333333,2.303527773,1.097494243
97,10686,342,KL_2009,KL,2009,control,L10,L.0,10,1,1,3,5/16/09,136,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,34,1,2,high predator,12,5,10,1.695141406,0.735397158,0.941745225,0.223606798,4,4479,1.823529412,2.303527773,1.097494243
98,10722,754,KL_2008,KL,2008,control,-215,-2,15,1,2,3,6/3/08,155,nonmast,NA,NA,NA,NA,NA,NA,38.53571429,329,1,1,2,high predator,-2,6,15,0,NA,0,3.014962686,4,4206,1.576923077,1.57665166,3.035942199
99,10722,755,KL_2008,KL,2008,control,-215,-2,15,1,1,3,5/8/08,129,nonmast,205,205,225,y,NA,NA,38.53571429,329,1,1,2,high predator,-2,5,15,1.695141406,-0.8409931,0.941745225,3.014962686,4,4206,1.576923077,1.57665166,3.035942199
100,10735,23,SU_2009,SU,2009,control,A19,A.0,19,1,2,3,7/5/09,186,nonmast,NA,NA,NA,y,NA,NA,3.058139535,314,0,0,2,high predator,1,7,19,0,NA,0,0.2,4,4555,NA,0.628250815,1.743163542
101,10735,24,SU_2009,SU,2009,control,A19,A.0,19,1,1,3,6/8/09,159,nonmast,133,133,260,y,NA,NA,3.058139535,314,0,0,2,high predator,1,6,19,0.188349045,-1.368900535,0.188349045,0.2,4,4555,NA,0.628250815,1.743163542
102,10746,447,KL_2008,KL,2008,control,O10.,O.0,10.5,1,2,4,5/18/08,139,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,0,0,1,high predator,15,5,10.5,1.13009427,0.735397158,0.188349045,0,1,4207,NA,0.971878161,-2.487401242
103,10748,244,KL_2008,KL,2008,control,D.5.,D.5,5.5,1,2,2,6/3/08,155,nonmast,181,181,201,y,NA,NA,38.53571429,329,0,0,1,high predator,9.5,6,5.5,0.188349045,-1.016962245,0.188349045,5.0009999,1,4208,NA,0.613023264,3.008599345
104,10748,245,KL_2008,KL,2008,control,D.5.,D.5,5.5,1,1,2,5/6/08,127,nonmast,187,187,260,y,NA,NA,38.53571429,329,0,0,1,high predator,9.5,5,5.5,2.071839496,-0.972969959,1.506792361,5.0009999,1,4208,NA,0.613023264,3.008599345
105,10748,243,KL_2009,KL,2009,control,D.5.,D.5,5.5,1,1,3,5/30/09,150,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,0,0,2,high predator,9.5,5,5.5,1.695141406,0.735397158,0.941745225,5.0009999,4,4481,NA,0.613023264,3.008599345
106,10754,361,KL_2009,KL,2009,control,G.18,G.5,18,1,2,3,7/11/09,192,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,1,1,1,high predator,12.5,7,18,0.188349045,0.735397158,0.188349045,5.0009999,1,4482,NA,-0.052084722,-2.483317123
107,10754,362,KL_2009,KL,2009,control,G.18,G.5,18,1,1,3,6/18/09,169,nonmast,300,300,NA,y,NA,NA,12.08333333,314,1,1,1,high predator,12.5,6,18,0.37669809,-0.144448568,0.37669809,5.0009999,1,4482,NA,-0.052084722,-2.483317123
108,10759,751,KL_2009,KL,2009,control,-215,-2,15,1,1,4,6/23/09,174,nonmast,373,373,NA,y,NA,NA,12.08333333,314,0,0,1,high predator,-2,6,15,0,0.390790915,0,0,1,4483,NA,1.407546149,-2.483677487
109,10818,808,KL_2009,KL,2009,control,-712,-7,12,1,1,3,6/16/09,167,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,16,2,1,high predator,-7,6,12,0,0.735397158,0,0,1,4484,2.1,0.42203909,2.484509232
110,10818,807,KL_2009,KL,2009,control,-712,-7,12,1,2,3,7/9/09,190,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,16,2,1,high predator,-7,7,12,0.188349045,0.735397158,0,1,1,4484,2.1,0.42203909,2.484509232
111,11020,785,KL_2016,KL,2016,control,-513,-5,13,1,1,2,4/18/16,109,nonmast,NA,420,NA,n,STT,wb,0,32,0,0,4,low predator,-5,4,13,0,0.735397158,0,0.360555128,16,7137,NA,0.57960052,1.74127902
112,11020,784,KL_2016,KL,2016,control,-513,-5,13,1,2,2,5/11/16,132,nonmast,NA,420,NA,n,SBS,grass,0,32,0,0,4,low predator,-5,5,13,3.955329947,0.735397158,1.883490451,0.360555128,16,7137,NA,0.57960052,1.74127902
115,11177,269,KL_2009,KL,2009,control,J1,J.0,1,1,1,3,6/17/09,168,nonmast,304,304,344,y,NA,NA,12.08333333,314,0,0,1,high predator,10,6,1,0.188349045,-0.115120377,0.188349045,0,1,4487,NA,0.656796575,0.203102073
116,11177,268,KL_2009,KL,2009,control,J1,J.0,1,1,2,3,7/9/09,190,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,0,0,1,high predator,10,7,1,0.75339618,0.735397158,0.565047135,1.835755975,1,4487,NA,0.656796575,0.203102073
117,11256,275,KL_2016,KL,2016,control,E.5,E.5,5,1,1,2,5/7/16,128,nonmast,NA,420,NA,n,JGR,wb,0,32,28,0,7,low predator,10.5,5,5,3.955329947,0.735397158,1.506792361,5.203844733,49,6424,NA,2.828371198,-0.96572934
118,11576,189,SU_2017,SU,2017,control,C.4,C.5,4,1,1,2,5/14/17,134,nonmast,312,312,331,y,JGR,grass,1.542168675,19,7,1,7,low predator,8.5,5,4,2.260188541,-0.056463995,1.506792361,5.100980298,49,7684,NA,1.867570294,1.583515935
119,11576,188,SU_2017,SU,2017,control,C.4,C.5,4,1,2,2,6/7/17,158,nonmast,303,303,314,y,nKP/ARM,grass,1.542168675,19,7,1,7,low predator,8.5,6,4,0,-0.122452424,0,5.100980298,49,7684,NA,1.867570294,1.583515935
130,11775,161,KL_2016,KL,2016,control,B.5.,B.5,5.5,1,1,2,5/12/16,133,nonmast,NA,420,NA,n,ERS,NA,0,32,26,0,6,low predator,7.5,5,5.5,4.897075172,0.735397158,2.071839496,5.1,36,7042,NA,2.668612627,2.169651293
131,11775,160,KL_2016,KL,2016,control,B.5.,B.5,5.5,1,2,2,6/4/16,156,nonmast,NA,420,NA,n,ERS,NA,0,32,26,0,6,low predator,7.5,6,5.5,0,0.735397158,0,5.1,36,7042,NA,2.668612627,2.169651293
132,11976,36,SU_2016,SU,2016,control,B1.,B.0,1.5,1,1,1,4/17/16,108,nonmast,100,100,120,y,JGR,grass,0,32,12,0,6,low predator,2,4,1.5,0,-1.61085811,0,0.1,36,6440,NA,2.830621462,2.012460391
133,11998,88,SU_2017,SU,2017,control,E12.,E.0,12.5,1,2,3,6/7/17,158,nonmast,NA,420,NA,n,SWK/MMS/MJD,grass,1.542168675,19,23,1,7,low predator,5,6,12.5,0,0.735397158,0,0.1,49,7692,NA,1.911851785,-0.117749328
134,11998,89,SU_2017,SU,2017,control,E12.,E.0,12.5,1,1,3,5/16/17,136,nonmast,NA,420,NA,n,ZCF/nMI/LEP,wb,1.542168675,19,23,1,7,low predator,5,5,12.5,2.636886631,0.735397158,1.883490451,0.1,49,7692,NA,1.911851785,-0.117749328
135,12003,71,SU_2017,SU,2017,control,D2,D.0,2,1,2,2,6/13/17,164,nonmast,NA,420,NA,n,HLS/MJD,grass,1.542168675,19,3,1,7,low predator,4,6,2,0,0.735397158,0,0.141421356,49,7899,1.277777778,-1.465044267,-1.460577546
136,12003,80,SU_2017,SU,2017,control,D2,D.0,2,1,1,2,5/21/17,141,nonmast,96,96,376,y,MMS/MJT,grass,1.542168675,32,3,1,6,low predator,4,5,2,2.260188541,-1.640186301,1.506792361,0.141421356,36,7899,1.277777778,-1.465044267,-1.460577546
137,12003,72,SU_2016,SU,2016,control,D2,D.0,2,1,2,3,5/2/16,123,nonmast,NA,420,NA,n,SMK,NA,0,19,3,1,7,low predator,4,5,2,2.260188541,0.735397158,1.506792361,0.141421356,49,6442,NA,-1.465044267,-1.460577546
138,12012,590,KL_2017,KL,2017,control,n.6.,n.5,6.5,1,1,2,5/21/17,141,nonmast,190,190,330,y,MMS/MCS,grass,1.142857143,19,2,0,6,low predator,19.5,5,6.5,0.565047135,-0.950973816,0,4.801041554,36,7693,NA,-2.135189466,-2.43873357
139,12026,439,SU_2016,SU,2016,control,O8,O.0,8,1,1,3,5/8/16,129,nonmast,NA,420,NA,n,JGR,grass,0,32,NA,0,6,low predator,15,5,8,2.071839496,0.735397158,1.695141406,0.223606798,36,7050,NA,2.41725993,1.232856243
144,12180,481,SU_2017,SU,2017,control,K.15,K.5,15,1,1,1,5/4/17,124,nonmast,67,67,74,y,nMI/BMT,grass,1.542168675,19,0,0,6,low predator,16.5,5,15,0.75339618,-1.852815684,0.565047135,5.1,36,7696,NA,-1.157173917,-2.487401242
